symbol,price,change,last update
MRK,65.21,+0.05,2017-02-16 09:14:54
MET,53.67,-0.24,2017-02-16 09:14:54
KORS,38.05,0.00,2017-02-16 09:14:50
MCHP,71.30,-0.24,2017-02-16 09:14:57
MU,22.98,-0.04,2017-02-16 09:14:57
MSFT,64.51,-0.02,2017-02-16 09:14:58
MHK,221.66,-1.36,2017-02-16 09:14:28
TAP,99.98,+0.95,2017-02-16 09:14:58
MDLZ,43.48,-1.89,2017-02-16 09:14:59
MON,108.57,-0.23,2017-02-16 09:15:02
MNST,43.40,+0.05,2017-02-16 09:14:59
MCO,109.77,-0.06,2017-02-16 09:14:59
MS,45.88,-0.61,2017-02-16 09:15:02
MSI,78.66,-0.73,2017-02-16 09:14:54
MUR,27.99,-0.17,2017-02-16 09:14:51
MYL,42.13,-0.31,2017-02-16 09:15:03
NDAQ,71.30,+0.05,2017-02-16 09:15:03
NOV,40.18,-0.24,2017-02-16 09:14:49
NAVI,15.49,-0.20,2017-02-16 09:15:05
NTAP,40.59,+1.66,2017-02-16 09:14:58
NFLX,141.80,-0.47,2017-02-16 09:14:58
NFX,42.24,-0.92,2017-02-16 09:14:34
NEM,37.47,+0.44,2017-02-16 09:14:52
NWSA,13.03,-0.07,2017-02-16 09:13:44
NWS,13.32,-0.12,2017-02-16 09:14:04
NEE,125.92,+0.65,2017-02-16 09:14:54
NLSN,44.81,0.00,2017-02-16 09:15:08
NKE,56.42,-0.21,2017-02-16 09:15:03
NI,22.52,+0.30,2017-02-16 09:13:46
JWN,44.74,-1.38,2017-02-16 09:15:10
NSC,122.55,-0.07,2017-02-16 09:14:54
NTRS,87.36,-1.30,2017-02-16 09:15:11
NOC,242.28,+0.60,2017-02-16 09:14:22
NRG,17.22,-0.27,2017-02-16 09:15:04
NUE,63.24,-0.61,2017-02-16 09:15:13
NVDA,106.44,-2.56,2017-02-16 09:15:13
ORLY,267.50,-3.12,2017-02-16 09:15:14
OXY,66.49,-0.71,2017-02-16 09:15:15
OMC,85.50,-0.09,2017-02-16 09:15:13
OKE,54.25,-0.24,2017-02-16 09:15:08
ORCL,41.48,+0.06,2017-02-16 09:15:00
OI,19.66,-0.10,2017-02-16 09:14:59
PCAR,68.62,-1.18,2017-02-16 09:15:17
PH,153.90,-1.58,2017-02-16 09:15:13
PDCO,43.83,+0.33,2017-02-16 09:15:09
PAYX,59.22,-0.16,2017-02-16 09:15:17
PYPL,42.01,+0.14,2017-02-16 09:15:21
PNR,58.28,-0.87,2017-02-16 09:14:58
PBCT,19.19,+0.03,2017-02-16 09:14:58
PEP,107.94,+1.24,2017-02-16 09:15:07
PKI,55.31,-0.23,2017-02-16 09:15:13
PRGO,83.28,-1.62,2017-02-16 09:13:22
PFE,33.73,+0.24,2017-02-16 09:15:13
PCG,63.34,+0.41,2017-02-16 09:15:20
PM,102.72,-0.15,2017-02-16 09:15:15
PSX,78.54,-0.91,2017-02-16 09:15:20
PNW,78.29,+0.30,2017-02-16 09:15:13
PXD,193.90,-3.82,2017-02-16 09:15:13
PBI,13.30,-0.06,2017-02-16 09:15:11
PNC,126.67,-1.09,2017-02-16 09:15:13
RL,78.64,-0.53,2017-02-16 09:15:13
PPG,101.65,+0.16,2017-02-16 09:15:13
PPL,35.58,+0.10,2017-02-16 09:15:16
PX,117.53,-0.04,2017-02-16 09:14:59
PCLN,"1,647.17",-1.79,2017-02-16 09:12:44
PFG,62.55,-0.16,2017-02-16 09:15:29
PG,90.93,-0.20,2017-02-16 09:15:23
PGR,38.56,+0.17,2017-02-16 09:15:13
PLD,50.19,+0.79,2017-02-16 09:15:15
PRU,111.97,+0.20,2017-02-16 09:15:29
PEG,43.55,+0.35,2017-02-16 09:15:02
PSA,219.99,+2.91,2017-02-16 09:15:14
PHM,21.42,-0.20,2017-02-16 09:15:25
PVH,88.69,-1.19,2017-02-16 09:14:54
QRVO,66.67,-0.50,2017-02-16 09:14:54
QCOM,56.68,+0.19,2017-02-16 09:15:31
PWR,37.40,+0.02,2017-02-16 09:14:44
DGX,95.21,-0.18,2017-02-16 09:15:24
RRC,31.30,-1.70,2017-02-16 09:15:29
RTN,151.84,-0.12,2017-02-16 09:15:32
O,60.69,+0.36,2017-02-16 09:15:36
RHT,81.26,+0.21,2017-02-16 09:14:58
REGN,373.20,-10.80,2017-02-16 09:15:27
RF,15.44,-0.12,2017-02-16 09:15:32
RSG,58.88,-0.24,2017-02-16 09:15:42
RAI,60.51,+0.10,2017-02-16 09:15:37
RHI,47.98,-0.15,2017-02-16 09:15:38
ROK,151.15,-1.29,2017-02-16 09:15:42
COL,92.97,+0.15,2017-02-16 09:13:22
ROP,205.75,-0.94,2017-02-16 09:15:09
ROST,68.44,-0.48,2017-02-16 09:15:44
RCL,95.69,-1.06,2017-02-16 09:15:42
R,76.48,-1.98,2017-02-16 09:15:42
SPGI,128.07,-0.26,2017-02-16 09:15:33
CRM,80.73,-0.91,2017-02-16 09:15:46
SCG,67.77,+0.32,2017-02-16 09:13:44
SLB,81.22,-0.53,2017-02-16 09:15:33
SNI,77.05,-0.13,2017-02-16 09:15:50
STX,47.40,-0.75,2017-02-16 09:15:50
SEE,47.89,+0.27,2017-02-16 09:15:09
SRE,105.39,+1.07,2017-02-16 09:13:44
SHW,309.93,+0.05,2017-02-16 09:15:36
SIG,74.53,-0.91,2017-02-16 09:14:58
SPG,179.90,+1.36,2017-02-16 09:15:47
SWKS,91.98,-0.15,2017-02-16 09:15:09
SLG,110.76,-0.40,2017-02-16 09:15:37
SJM,137.51,-0.91,2017-02-16 09:15:54
SNA,172.66,-2.69,2017-02-16 09:15:34
SO,48.23,+0.44,2017-02-16 09:15:16
LUV,56.32,-0.97,2017-02-16 09:15:58
SWN,8.74,-0.29,2017-02-16 09:15:56
SE,41.39,-0.31,2017-02-16 09:16:00
STJ,0.0000,0.0000,
SWK,125.96,-0.75,2017-02-16 09:15:41
SPLS,9.30,-0.16,2017-02-16 09:15:58
SBUX,56.86,0.00,2017-02-16 09:16:03
STT,80.68,-1.23,2017-02-16 09:15:57
SRCL,83.42,+6.03,2017-02-16 09:16:04
SYK,125.37,-0.39,2017-02-16 09:15:15
STI,59.47,-0.55,2017-02-16 09:15:54
SYMC,28.47,-0.05,2017-02-16 09:16:03
SYF,36.67,-0.61,2017-02-16 09:15:57
SYY,52.57,-0.18,2017-02-16 09:16:02
TROW,71.21,-0.34,2017-02-16 09:16:07
TGT,65.35,-0.40,2017-02-16 09:16:03
TEL,75.10,-0.48,2017-02-16 09:16:00
TGNA,24.41,+0.08,2017-02-16 09:16:06
TDC,31.22,-0.37,2017-02-16 09:15:45
TSO,87.25,-0.76,2017-02-16 09:15:54
TXN,76.09,+0.42,2017-02-16 09:16:08
TXT,48.69,-0.47,2017-02-16 09:15:48
BK,47.03,-0.40,2017-02-16 09:15:54
CLX,129.31,+0.92,2017-02-16 09:16:07
